,ID,제목,가수,가사,predicted_emotion_mbert
0,37145732,Love wins all,아이유,"Dearest, Darling, My universe날 데려가 줄래?나의 이 가난한 상상력으론떠올릴 수 없는 곳으로저기 멀리 from Earth to Mars꼭 같이 가줄래?그곳이 어디든, 오랜 외로움그 반대말을 찾아서어떤 실수로이토록 우리는함께일까세상에게서 도망쳐 Run on나와 저 끝까지 가줘 My lover나쁜 결말일까 길 잃은 우리 둘 um부서지도록 나를 꼭 안아더 사랑히 내게 입 맞춰 LoverLove is all Love is allLove Love Love Love결국, 그럼에도,어째서 우리는서로일까세상에게서 도망쳐 Run on나와 저 끝까지 가줘 My lover나쁜 결말일까 길 잃은 우리 둘 um찬찬히 너를 두 눈에 담아한 번 더 편안히 웃어주렴유영하듯 떠오른그날 그 밤처럼,나와 함께 겁 없이저물어줄래?산산히 나를 더 망쳐 Ruiner너와 슬퍼지고 싶어 My lover필연에게서 도망쳐 Run on나와 저 끝까지 가줘 My lover일부러 나란히 길 잃은 우리 두 사람부서지도록 나를 꼭 안아더 사랑히 내게 입 맞춰 LoverOur Love wins all Love wins allLove Love Love Love",부정
1,37194943,밤양갱,비비 (BIBI),떠나는 길에 니가 내게 말했지‘너는 바라는 게 너무나 많아잠깐이라도 널 안 바라보면머리에 불이 나버린다니까’나는 흐르려는 눈물을 참고하려던 얘길 어렵게 누르고‘그래 미안해’라는 한 마디로너랑 나눈 날들 마무리했었지달디달고 달디달고 달디단 밤양갱 밤양갱내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야떠나는 길에 니가 내게 말했지‘너는 바라는 게 너무나 많아’아냐 내가 늘 바란 건 하나야한 개뿐이야 달디단 밤양갱달디달고 달디달고 달디단 밤양갱 밤양갱내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야상다리가 부러지고둘이서 먹다 하나가 쓰러져버려도나라는 사람을 몰랐던 넌떠나가다가 돌아서서 말했지‘너는 바라는 게 너무나 많아’아냐 내가 늘 바란 건 하나야한 개뿐이야 달디단 밤양갱,긍정
2,37229121,Shopper,아이유,"아직도 난더 가지고 싶어(Yeah I want moreI’ll get it more, more)설레는 게이렇게나 많은 걸(Oh I want allI must have all, all)저녁 일곱시노을의 팔레트(I need it, courseI’ll take it, course, course)가슴 터질 듯내 이름을 외치는 목소리(Oh it’s so worthIt’s more than what, what)빼곡히 적은 wish list빠짐없이 가질 때까지(Take what you wantNo matter who calls you a freak)설명할 필요 없어나 그때와는 다른 걸 원해, 원해Let’s go haul더 미어터질 만큼 다 채워Look around시간은 짧아 더 빨리 가져(Shop all day, ayGreed is free, ay)Go Make your own가지러 태어난 것처럼이 샵은 문 닫지 않아 늘, 영원히마지막 소절 숨의 첫 모금(It's time to showGo, make it sure, sure)승리를 앞둔마음이 달릴 때 내는 소리(It's time to goI'll make my goal, goal)내게는 없어 plan B모조리 내 것이 될 때까지(Take what you wantNo matter who puts down you‘re greed)적당히로는 안돼난 훨씬 더 대담한 걸 원해, 원해Let’s go haul더 미어터질 만큼 다 채워Look around시간은 짧아 더 빨리 가져이 샵은 문 닫지 않아, 봐필요 없는 건 없어for my Victory, even your jealousy나 이제껏 모르던 세상을 욕심 내볼래Let’s go haul더 미어터질 만큼 다 채워Look around시간은 짧아 더 빨리 가져Shop all day, ayGreed is free, ayGo Make your own가지러 태어난 것처럼이 샵은 문 닫지 않아 늘, 영원히",부정
3,37140709,첫 만남은 계획대로 되지 않아,TWS (투어스),"Ay ay ay ay ay거울 속에 내 표정 봐 봐느낌 So good 기다려온 D-day연습했던 손든 인사도 그대로 하면 돼Hairstyle check하고 한 번 Turn around발걸음은 매일 걷던 그 길로계획은 완벽빨리 말 걸어보고 싶어, HeyWoo 문 앞에서 셋을 세어본다, Yeh(셋, 둘, 하나)첫 만남은 너무 어려워계획대로 되는 게 없어서첫 만남은 너무 어려워내 이름은 말야Hey,안녕, 첫 마디를 건넬 때주변 소린 Canceled네 말소리는 PlaylistYeh,질문은 나의 용기, 알려줘 너의“이름이 뭐야?”너와 내 거리는 세 걸음 남았어, Yeh(셋, 둘, 하나)첫 만남은 너무 어려워계획대로 되는 게 없어서첫 만남은 너무 어려워내 이름은 말야이 순간, Feels so wonderful조금은 뚝딱거려도어색한 인사까지도너와 나의 첫 만남우리의 사이 Beautiful내일도 내일모레도기억해, 영원히 반짝일 순간Wait wait!Na na na-이렇게 만나서 반가워내일 또 봐 안녕",긍정
4,37222942,홀씨,아이유,"내가 누울 자린 아마도한참 더 위로아니 적당히 미끈한 곳에뿌리내리긴 싫어내 뒤로 착착 따라붙어다 예쁘게 줄지어난 기어코 하늘에 필래음, What a tiny leader아슬아슬히 나는홀씨 하나 또 다른길을 향해서Fly high to bloom혹시 나의 안부를묻는 누군가있거든 전해줘걔는 홀씨가 됐다구날 따라, gonna go to win날 따라, 날아가 꼭대기루You say '후‘I may flyYou say '후‘Then i fly날 따라, Even without wings날 따라, 떠올라 공중으루You say '후‘I may flyYou say '후'Then i fly다 날 볼 수 있게 날아 줄게 한가운데시력을 위해 꼭 지참해 니 sunglass올려보면 눈부셔고소공포 하나도 안 무셔따가운 태양과 무지 가까운 거리까지 올라가 난 무심히 내려보리구름을 골라타간만에 한바탕싹 어질러볼까빙글빙그르 나는홀씨 하나 가파른바람을 타고Fly high to bloom혹시 나의 안부를묻는 누군가있거든 전해줘걔는 홀씨가 됐다구날 따라, gonna go to win날 따라, 날아가 꼭대기루You say '후‘I may flyYou say '후‘Then i fly날 따라, Even without wings날 따라, 떠올라 공중으루You say '후‘I may flyYou say '후'Then i fly앞길이 만만치 않아도엄살은 뒤로내 선택이야 늘 그랬듯이쉬울 확률은 zero남은 거 탈탈 털어줄게모두 행운을 빌어구태여 인사하고 갈래May god be with yaSee ya",부정
5,37023625,비의 랩소디,임재현,이젠 눈물 그쳐 나를 봐요우는 그대 더 아름다워내게 이 모습조차 더 남지 않도록그냥 고개 돌려요그저 미안한 마음뿐이죠그댈 위해 해줄 게 없어모두 이해할게요 그댈 아끼는 맘그분들도 같을 거란 걸한참 동안을 비틀거렸죠그댈 사랑했던 그만큼떠나가요 아주 먼 곳으로그대 소식 내게 올 수 없을 그만큼다 잊어요 내겐 마지막이 될사람도 모두 다 버려두고 갈게요나를 위해 많이 애썼단 걸알고 있죠 난 감사해요허나 이룰 수 없는 건 어쩔 수 없죠내가 용기 낼게요 이젠죽는 날까지 사랑한대도가질 수 없는 그대인걸떠나가요 아주 먼 곳으로그대 소식 내게 올 수 없을 그만큼다 잊어요 내겐 마지막이 될사람도 모두 다 버려두고 갈게요떠나가요 아주 먼 곳으로그대 소식 내게 올 수 없을 그만큼혹시라도 내가 그리울 때면세상에 내가 없다고 믿어요,긍정
6,37003911,To. X,태연 (TAEYEON),"처음 본 널 기억해We skipped the small talk바로 다음 단계였지 뭐단점이라곤 없는 게 단점이라던그 허세도 마냥 좋았어하지만 내 일기가재미없어진 이유내가 없어진 나의매일들은 허전해좀 이상해 왜 둘 사이에너만 너만 보이는 걸까난 까다롭고 힘든 아이라그런 피곤한 생각만 한대오늘 나눈 문자 속에새로 산 티셔츠그 얘기뿐이야이제야 난 알 것 같아Gonna block you불을 꺼 To. X그 좋아했던 립스틱싫단 말에 버린널 좋아했던 만큼다 맞추려 했어‘나 아님 누가그런 세상 안아주겠어’그 말이 그땐 그리달콤했던 거야 Oh no새벽의 긴 통화도이젠 피곤해졌어Every day, every night나로 채우고 싶어좀 이상해 왜 둘 사이에너만 너만 보이는 걸까난 까다롭고 힘든 아이라그런 피곤한 생각만 한대오늘 나눈 문자 속에새로 산 티셔츠그 얘기뿐이야이제야 난 알 것 같아Gonna block you불을 꺼 To. XGonna block you불을 꺼 To. XSay ByeGonna block you불을 꺼 To. X깜빡거리는흔들거리는 LightGonna block you불을 꺼 To. X좀 이상해 왜 둘 사이에너만 너만 보이는 걸까(너만 보일까)난 까다롭고 힘든 아이라그런 피곤한 생각만 한대오늘 나눈 문자 속에(이제 불을 꺼)새로 산 티셔츠그 얘기뿐이야이제야 난 알 것 같아Gonna block you불을 꺼 To. XGonna block you불을 꺼 To. X",부정
7,37098744,Love 119,RIIZE,1 2 Let’s go뺏긴 My heartthat girl’s a killerLove so goodfeels like a thriller시작됐지이건 Emergency (Vroom)1-1-9 1-1-9Save my life save my lifeShe sets me free이건 Emergency (Love)너는 마치 Flashlight자꾸만 시선을 뺏겨많은 사람 속에서순간 너만 보였어다들 말하지Love is so sweet아직 난 뭔지 모르겠지Right now처음 느낀 이상한 떨림이건 진심 I’m not kidding친구이기엔 더Deeper deeper deeper어쩌면 Love song yah뺏긴 My heartthat girl’s a killerLove so goodfeels like a thriller시작됐지이건 Emergency (Vroom)1-1-9 1-1-9Save my life save my lifeShe sets me free이건 Emergency (Love)이상해 나 What do I do너에 관한 건 뭐라도신경 쓰여 난 All day넌 만들어 My day이 감정은 Someday난 알고 싶어귓가에 울린Love is so sweet멈출 수 없이빠져버린 나야네가 자꾸 궁금해 왜지말도 안 돼I’m not kidding시간이 갈수록깊어 깊어 깊어져가는 나잖아뺏긴 My heartthat girl’s a killerLove so goodfeels like a thriller시작됐지이건 Emergency (Vroom)1-1-9 1-1-9Save my life save my lifeShe sets me free이건 Emergency (Love)이건 뭘까You know what I’m talking about왜 이렇게나의 맘이 어지러운 걸까이 모든 게내가 널 좋아하는 건가난 그럼 더 이상끌고 싶지 않아다른 건Nothing butI want it all with you뺏긴 My heartthat girl’s a killerLove so goodfeels like a thriller시작됐지이건 Emergency (Vroom)1-1-9 1-1-9Save my life save my lifeShe sets me free이건 Emergency (Love),부정
8,37229122,"Shh.. (Feat. 혜인(HYEIN), 조원선 & Special Narr. 패티김)",아이유,"It's not about F (F)not about L (L)We got something else뒷짐을 진채따라갈래그녀의 긴 발자국서로를 이어 (서로를 이어)How special we are (special we are)그 존재감에입을 다무네영원히 날 앞서는그 이름은 Shh...음 아마 첫사랑이지또한 내 첫 세상뚫어져라 무언가바라보는 시선 역시같은 눈동자를 가진 그녀를닮아서일까음 즐거운 악몽이지우리는 시소에 올라또 오르락내리락도통 이해가 안 되는 일이지유쾌하지 않은 꿈에서까지널 보며왜 웃고 있을까It's not about F (F)not about L (L)We got something else굵고 까맣게 (F)땋은 양갈래 (L)이야길 담은 입술서로를 이어 (서로를 이어)How special we are (special we are)참 시시하게 (F)혹은 비범하게 (L)한 조각씩 내어준그 이름은 Shh..옷자락 휘날리던 등장에 대하여(Salute)그보다 꼿꼿하던 퇴장을 향하여빛에 맞서던 순간도빛을 등지던 순간도 음음내내 자신답던 그녀를 위하여멈춘 적 없는오랜 혼잣말처럼나의 시간 어딘가 영원히풀리지 않는 암호 같은 그녀들에게It's all about F (F)All about L (L)We got something else난 마주할래 (F)오랜 감정에 (L)이름을 붙일 자유서로를 이어 (서로를 이어)How special we are (special we are)끝내 재가 될 때 (F)까지 내 안에 (L)빨갛게 숨 타오를그 이름은 Shh..여기낡은 이야기 하나 있죠모두가 다 아는, 그러나 또 모르는그 이름은 Shh..",부정
9,37053556,에피소드,이무진,나는 말야버릇이 하나있어 그건 매일 잠에 들 시간마다잘 모아둔 기억 조각들 중잡히는 걸 집은 후혼자 조용히 꼬꼬무이걸 난궁상이란이름으로 지었어 고민 고민하다가아무튼 뭐 오늘은 하필이면너가 스쳐버려서우리였을 때로우리 정말 좋았던 그때로우리의 에피소드가찬란하게 막을 연다배경은 너의 집 앞첫 데이트가 끝난둘만의 에피소드가참 예쁜 얘기로 시작자작자작 조심스런 대화그새 늦은 시간굿바이좋은 뜻일 뿐인 굿바이With a happy smile이게 이 스토리의 서막눈 내리던 그 밤겨울 향이 배어서더 눈부신우리의 에피소드다매일이 마지막인 듯이함께라면 어디든지사랑이란 걸 끝도 없이주고받고 나눴어 그치?서로만 있음 마음이시릴 날이 없던 우리넌 오아시스 내겐 마치근데 있잖아별 소용없다?생각만 해도 행복한 순간들은 말야모른 척해도 결국엔 이건끝을 봤던 에피소드점점 점점 점점우리의 에피소드가결말에 가까워져가곧 새드 엔딩이다크레딧엔 너와 나둘만의 에피소드가참 쓸쓸한 끝을 맞아두 주인공의 서글픈 마지막결국 건넨 인사굿바이너무 아픈 이별의 굿바이눈물이 뺨을 스쳐도착한 입가엔 미소애써 웃고 있어우린 서로를 보며첨 같던 미소로 안녕웃으며 안녕눈 뜨면 에필로그다침대에 기대어 혼자펑펑 울고 있는 나이 궁상 밖의 난둘만의 에피소드완전혀 다른 모습 난 그날돌아서지 말았어야 했다널 안았어야 했다그 밤눈꽃이 널 덮은 그 밤의향을 잊음과함께 잃었던 따스함춥게 눈을 뜬다겨울밤이 되어서맞이한 향이우리의 에피소드다,부정
